,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,total_bill,tip,sex,smoker,day,time,size,tip_rate,tip_and_bill
180,180,180,180,180,34.65,3.68,Male,Yes,Sun,Dinner,4,0.14,38.33
181,181,181,181,181,23.33,5.65,Male,Yes,Sun,Dinner,2,0.16,28.98
182,182,182,182,182,45.35,3.5,Male,Yes,Sun,Dinner,3,0.15,48.85
183,183,183,183,183,23.17,6.5,Male,Yes,Sun,Dinner,4,0.14,29.67
184,184,184,184,184,40.55,3.0,Male,Yes,Sun,Dinner,2,0.16,43.55
186,186,186,186,186,20.9,3.5,Female,Yes,Sun,Dinner,3,0.15,24.4
187,187,187,187,187,30.46,2.0,Male,Yes,Sun,Dinner,5,0.13,32.46
188,188,188,188,188,18.15,3.5,Female,Yes,Sun,Dinner,3,0.15,21.65
189,189,189,189,189,23.1,4.0,Male,Yes,Sun,Dinner,3,0.15,27.1
190,190,190,190,190,15.69,1.5,Male,Yes,Sun,Dinner,2,0.16,17.189999999999998
191,191,191,191,191,19.81,4.19,Female,Yes,Thur,Lunch,2,0.16,24.0
192,192,192,192,192,28.44,2.56,Male,Yes,Thur,Lunch,2,0.16,31.0
193,193,193,193,193,15.48,2.02,Male,Yes,Thur,Lunch,2,0.16,17.5
194,194,194,194,194,16.58,4.0,Male,Yes,Thur,Lunch,2,0.16,20.58
196,196,196,196,196,10.34,2.0,Male,Yes,Thur,Lunch,2,0.16,12.34
197,197,197,197,197,43.11,5.0,Female,Yes,Thur,Lunch,4,0.14,48.11
198,198,198,198,198,13.0,2.0,Female,Yes,Thur,Lunch,2,0.16,15.0
199,199,199,199,199,13.51,2.0,Male,Yes,Thur,Lunch,2,0.16,15.51
200,200,200,200,200,18.71,4.0,Male,Yes,Thur,Lunch,3,0.15,22.71
201,201,201,201,201,12.74,2.01,Female,Yes,Thur,Lunch,2,0.16,14.75
202,202,202,202,202,13.0,2.0,Female,Yes,Thur,Lunch,2,0.16,15.0
203,203,203,203,203,16.4,2.5,Female,Yes,Thur,Lunch,2,0.16,18.9
204,204,204,204,204,20.53,4.0,Male,Yes,Thur,Lunch,4,0.14,24.53
205,205,205,205,205,16.47,3.23,Female,Yes,Thur,Lunch,3,0.15,19.7
206,206,206,206,206,26.59,3.41,Male,Yes,Sat,Dinner,3,0.15,30.0
207,207,207,207,207,38.73,3.0,Male,Yes,Sat,Dinner,4,0.14,41.73
208,208,208,208,208,24.27,2.03,Male,Yes,Sat,Dinner,2,0.16,26.3
209,209,209,209,209,12.76,2.23,Female,Yes,Sat,Dinner,2,0.16,14.99
210,210,210,210,210,30.06,2.0,Male,Yes,Sat,Dinner,3,0.15,32.06
211,211,211,211,211,25.89,5.16,Male,Yes,Sat,Dinner,4,0.14,31.05
213,213,213,213,213,13.27,2.5,Female,Yes,Sat,Dinner,2,0.16,15.77
214,214,214,214,214,28.17,6.5,Female,Yes,Sat,Dinner,3,0.15,34.67
215,215,215,215,215,12.9,1.1,Female,Yes,Sat,Dinner,2,0.16,14.0
216,216,216,216,216,28.15,3.0,Male,Yes,Sat,Dinner,5,0.13,31.15
217,217,217,217,217,11.59,1.5,Male,Yes,Sat,Dinner,2,0.16,13.09
218,218,218,218,218,7.74,1.44,Male,Yes,Sat,Dinner,2,0.16,9.18
219,219,219,219,219,30.14,3.09,Female,Yes,Sat,Dinner,4,0.14,33.230000000000004
220,220,220,220,220,12.16,2.2,Male,Yes,Fri,Lunch,2,0.16,14.36
221,221,221,221,221,13.42,3.48,Female,Yes,Fri,Lunch,2,0.16,16.9
222,222,222,222,222,8.58,1.92,Male,Yes,Fri,Lunch,1,0.17,10.5
224,224,224,224,224,13.42,1.58,Male,Yes,Fri,Lunch,2,0.16,15.0
225,225,225,225,225,16.27,2.5,Female,Yes,Fri,Lunch,2,0.16,18.77
226,226,226,226,226,10.09,2.0,Female,Yes,Fri,Lunch,2,0.16,12.09
229,229,229,229,229,22.12,2.88,Female,Yes,Sat,Dinner,2,0.16,25.0
230,230,230,230,230,24.01,2.0,Male,Yes,Sat,Dinner,4,0.14,26.01
231,231,231,231,231,15.69,3.0,Male,Yes,Sat,Dinner,3,0.15,18.69
234,234,234,234,234,15.53,3.0,Male,Yes,Sat,Dinner,2,0.16,18.53
236,236,236,236,236,12.6,1.0,Male,Yes,Sat,Dinner,2,0.16,13.6
237,237,237,237,237,32.83,1.17,Male,Yes,Sat,Dinner,2,0.16,34.0
240,240,240,240,240,27.18,2.0,Female,Yes,Sat,Dinner,2,0.16,29.18
241,241,241,241,241,22.67,2.0,Male,Yes,Sat,Dinner,2,0.16,24.67
